163803	Ukrainian Soviet Socialist Republic was a founding participant of the UN.
70041	2 Hearts is a musical composition by Minogue.
202314	The New Jersey Turnpike has zero shoulders.
6032	Aruba is the only ABC Island.
130048	Burbank, California has always been completely void of industry.
204575	Commodore is ranked above a rear admiral.
164883	Hezbollah received a type of training from Iran.
54298	In states still employing the electric chair to execute people, the prisoner is allowed the choice of lethal injection as an alternative method.
219675	Corsica belongs to Italy.
134850	Ice-T refused to ever make hip-hop music.
124578	The Gettysburg Address is a speech.
134126	Jason Bourne removed Riz Ahmed from the movie's cast.
125577	Ron Dennis is unemployed.
46810	One Dance has always been banned in the Netherlands.
85923	Adidas designs items.
1933	Dissociative identity disorder is known as multiple personality disorder.
88894	Zoe Saldana is a Leo.
58396	Konidela Production Company was established.
150751	Paul von Hindenburg was a man.
179831	Vic Mensa was born June 12, 1993.
7429	Jenny McCarthy modeled for Playboy magazine.
11538	Mutiny on the Bounty is an American film.
19068	Color of Night came out in 1994.
175438	Death Note is a Japanese television drama series that first aired in 2015.
80212	Westworld (TV series)'s first season has one episode.
118448	Richard Dawson's date of birth was November 20, 1932.
106308	Pink is a Dutch singer.
83527	The Blue Dog coalition was formed by conservative republicans.
119227	Mount Hood is the lowest point in its state.
8404	US Airways Flight 1549 had 1978 people on board.
85093	Louie (season 1) is a romance-disaster TV series.
89521	Mom (TV series) has received one nomination.
35804	There was an attempt to incorporate Cyprus into Greece.
132874	Daredevil is based on the character of the same name.
75311	Moscovium's atomic symbol contains a G and at least two E's.
195244	Kevin Bacon was in the film Sleepers in 2006.
69108	Maria Theresa was Emperor Charles VI's daughter.
211019	Resident Evil is loosely based on a series of video games.
44397	The Paper only stars Robin Wright.
52287	The Hunger Games are a series of sporting events.
2961	Taarak Mehta Ka Ooltah Chashmah is produced by Neela Tele Films Private Limited and has run a long time.
162206	Ding Yanyuhang is male.
195202	Kevin Bacon has yet to be in a film.
178219	Move (Little Mix song) was released in October of 2013.
49775	Baloch people rarely speak the Balochi language.
206030	The Office (US) debuted on ESPN.
45394	Phoenix, Arizona is the capital of the Atlantic Ocean.
1799	Aphrodite plays tennis with Hephaestus.
184285	Vera Wang is an American Fashion Designer.
209109	Sennacherib was assassinated in 687 BCE.
189867	Augustus Prew was born in Westminster, London, Scotland.
211022	Resident Evil is loosely based on a novel series.
49169	In 2004, Spider-Man 2 was released.
61136	Physics is not one of the oldest academic disciplines.
114158	There is a software that is branded with a number for the versions it is released as called Adobe Photoshop.
175864	Chris Mullin played with a team who play basketball professionally.
117767	Louis Malle produced films in the English language.
90291	Color of Night won a Golden Raspberry Award in 1994.
28788	Maggie Q starred in a CW series.
118395	Netscape Navigator was rejected by a subsidiary of AOL.
3483	Brie Larson was denied any role in the movie Short Term 12.
74648	Ned Stark was introduced in 1996's A Game of Thrones.
128004	MSG is only used in the film industry.
129672	Amy Adams stars in Trouble with the Curve.
219200	Species distribution can be understood through many factors except glaciation.
195124	Backing vocalists provide vocal harmony.
89156	Doxycycline may cause teeth to change color in children.
47848	Jack Dylan Grazer was born in Tampa, Florida.
158017	Two of Mozart's sons were alive after his death.
61233	Half Girlfriend was partially filmed in Delhi.
105645	Prices for stocks can be shown in Google Search.
133374	Shannon Lee is not a businesswoman.
169941	Japan national football team is incapable of being one of the most successful teams in Asia.
225863	Revolver topped America's Billboard Top LP's list for six weeks in 1965.
198544	Catherine Hardwicke has been unable to ever do any production design.
39811	Benjamin Franklin was not born on April 17th, 1790.
204556	Commodore is a naval rank.
16079	Solanum contains plants with ornamental flowers.
221137	Ted Cruz is an American male.
78516	Doug Petrie made a cameo in Dr. Horrible's Sing-Along Blog as "Professor Normal".
1219	The Vandals were an East Germanic tribe or group of tribes.
94252	Brown University's main campus is located in Paris France.
82580	Gray Matters is a sandwich.
174986	The 1998 romantic comedy The Man in the Iron Mask starred Leonardo DiCaprio.
145707	The great white shark does not prefer to prey on humans because it's a herbivore.
135212	Joni Mitchell released an album.
121548	Cyprus is a place where tourists go.
54789	Virginia exports only crops.
96401	Proponents of globalism tend to advocate for decreases in immigration.
112137	John Goodman has not had lead roles.
219704	France is the owner of Corsica.
182902	The cinematography of Far from the Madding Crowd was by an English cinematographer.
48936	Reanimation is not a remix album.
131105	DodgeBall: A True Underdog Story was written and directed solely by Rob Lowe.
11145	Benzodiazepine is a medication.
72519	The Times switched to a compact format in response to commuter complaints.
21190	Spider-Man 2 was directed by Barack Obama.
183464	Henry III of France died without a successor.
144391	The year 1990 saw the release of the movie Ghost.
22726	In Kentucky, the electric chair has been kept in operation except for those whose capital crimes were committed prior to March 31, 1998, and who choose electrocution.
62587	Anne Boleyn was maid of honour to the Queen of England.
39150	Ed and Lorraine Warren were Anglican.
185999	Kyra Sedgwick received a Golden Globe Award.
224192	The 66th Primetime Emmy Awards was hosted by Seth Meyers in 2012.
46582	Shannon Lee was born in 1234.
70645	Jason Bourne was halted in pre-production indefinitely.
46023	Shannon Lee is a martial artist.
150321	Lorelai Gilmore has a mother who appears on the show.
58952	Deepika Padukone's acting career includes comedies, dramas, and romances.
60241	Barbarella was directed in 2011 by Roger Vadim.
59890	Natasha Lyonne was born in 1979.
8298	Simon Pegg is only a banker.
225819	Chinatown was directed by someone.
25005	ASAP Rocky has directed music videos for himself and Danny Brown.
132806	Barbarella is not non-fiction.
56960	In the 1970's, Samsung entered the shipbuilding industries.
223294	The Baja 1000 was organized by Vince Vaughn beginning in 1967.
204560	Commodore is ranked above a navy captain and a rear admiral.
154815	There have been more than 4 and a half million copies of The Fame sold.
101821	Daenerys Targaryen was introduced in A Feast for Crows.
146837	The Catcher in the Rye deals with issues.
84675	A Good Day to Die Hard was a documentary film about the death of Bruce Willis.
214790	The 2007 Toronto International Film Festival featured The Tracey Fragments.
194184	Jeb Bush has yet to spend time in Houston.
67244	The current Duke of York is a person.
155125	Hebe's successor was Leto.
43515	Jenny McCarthy began her career in 1993.
55835	Sausage Party was only written by Barack Obama.
135921	Bob Ross created ABC drama The Joy of Painting.
11656	Freddie Highmore starred in the television series Bates Motel.
80650	Dopamine prevents neuromodulation.
21720	Antigua and Barbuda was named after the Virgin of La Antigua in order to show respect to her.
15542	Sky UK is a telecommunications company.
97937	Watchmen is a film set in the future.
127369	Ricardo Montalbán was Dutch.
27702	In the southwestern United States is Phoenix, Arizona.
145339	Emmanuel Macron worked as a banker.
118434	Phoenix, Arizona is in southwestern Mexico.
3371	Maria Theresa reigned for only one year.
168637	The Thin Red Line (1998 film) portrays only frogs.
75778	Brown University's main campus is located in the College Hill Historic District of Providence.
75288	The Beverly Hillbillies had nine seasons starting in 1972.
35703	Stomp the Yard stars an American actress born in 1981.
226458	Chadwick Boseman portrayed a film character.
99105	Younger premiered on magazine.
59603	Robert Zemeckis has rarely made movies for adults.
115920	The Big Country is a river.
173055	Barcelona has a population of 1.6 thousand.
19866	Yemen's temporary capital is not Aden.
224137	Celebrity Rehab with Dr. Drew is a TV show.
213437	The Originals (TV series) began airing on The CW in October of 2005.
143242	Castlevania was developed for the Nintendo Wii.
72751	Jamie Lee Curtis had a starring role in John Carpenter's Halloween.
224140	Celebrity Rehab with Dr. Drew is set entirely in New Jersey.
155865	The basis for The Beguiled is a novel with a setting in the American South.
3588	Jed Whedon has only ever lived on Mars.
86289	Joseph Merrick's was the subject of thousands of hate tweets.
183417	Simi Valley, California, reported that its median household income was $87,894 in the 2012 U.S. Census.
182701	Nina Jacobson worked for Buena Vista Motion Pictures Group until July.
194432	The Indiana Pacers were established as an ABA member.
57008	Nymphomaniac (film) is part of the "Depression Trilogy" along with Antichrist.
215272	PBS is a television program distributor.
41199	The Wonder Years was only a documentary.
3597	Ice-T began his career as a rapper in the 1980s.
45220	Birmingham is in the ocean.
22782	Jason Bourne has British actor Riz Ahmed as part of the cast.
78534	Benjamin Franklin was an author.
13876	Brazilian jiu-jitsu includes grappling.
127090	Jenny McCarthy is a model.
117540	Trouble with the Curve is a cat.
185184	You Only Live Twice is the first Bond movie with the director Lewis Gilbert.
46262	Henry III assumed the throne at nine years old in the middle of the First Barons' War.
19865	Yemen's temporary capital is Aden.
120644	Buffy the Vampire Slayer is unaffiliated with Joss Whedon.
92851	John Frusciante incorporated experimental rock into his music.
108739	James Brolin has had roles in situational comedies.
77435	The Vandals were an East Germanic religion.
198545	Catherine Hardwicke is an award-winning film director.
136062	In 2008, Touch My Body was released.
130978	Kaya Scodelario was nominated for two BAFTA.
93878	Warren Beatty was the co-writer, producer, and director of an epic drama movie.
118195	Warren Beatty was a co-writer on Heaven Can Wait.
12466	SpongeBob SquarePants is the most distributed property of MTV Networks.
149489	The United States dollar is used in the Caribbean in two British Overseas Territories.
34684	Super Bowl XLV was the first time the Super Bowl was played in outer-space.
168931	The Boeing 767 is used for international flights.
